,Timestamp,Fecal Coliform (MF),24hr Rainfall (in)
0,10-11-2018,28.0,0.0
1,11-14-2018,10.0,0.06
2,12-04-2018,2.0,0.0
3,12-04-2018,6.0,0.0
4,01-15-2019,2.0,0.0
5,02-26-2019,2.0,0.0
6,02-26-2019,4.0,0.0
7,03-20-2019,2.0,0.0
8,04-09-2019,26.0,0.08
9,05-30-2019,68.0,0.0
